,fileid
0,20141203-0900-COMMITTEE-LIBE_fr_191_1
1,20091126-0900-PLENARY-3_fr_81_0
2,20131202-1500-COMMITTEE-SEDE_fr_30_0
3,20151201-0900-COMMITTEE-DEVE_fr_259_0
4,20140114-0900-PLENARY-3_fr_198_0
5,20131114-0900-COMMITTEE-LIBE_fr_167_1
6,20100929-0900-COMMITTEE-LIBE_fr_360_1
7,20111012-1230-COMMITTEE-AFET_fr_107_0
8,20170626-1500-COMMITTEE-CONT_fr_96_1
9,20100617-0900-PLENARY-8_fr_10_0
10,20100902-1500-COMMITTEE-LIBE_fr_240_0
11,20101201-0900-COMMITTEE-INTA_fr_71_0
12,20120423-1500-COMMITTEE-ITRE_fr_260_2
13,20120229-0900-COMMITTEE-ECON_fr_158_0
14,20151127-1600-SPECIAL-UNKN_fr_36_0
15,20180601-1430-SPECIAL-UNKN_fr_136_0
16,20160613-1500-COMMITTEE-ECON_fr_37_0
17,20121011-0900-COMMITTEE-IMCO_fr_250_1
18,20111123-1500-COMMITTEE-ITRE_fr_105_0
19,20181025-0930-SPECIAL-STOA_fr_7_1
20,20141001-1330-COMMITTEE-HEARING2014JH_fr_289_0
21,20090720-1500-COMMITTEE-DEVE_fr_17_1
22,20180530-0900-PLENARY-23_fr_67_0
23,20101110-0900-PLENARY-8_fr_24_0
24,20110711-1500-COMMITTEE-IMCO_fr_99_1
25,20161129-0900-COMMITTEE-REGI_fr_224_1
26,20100309-0900-PLENARY-8_fr_81_1
27,20160705-0900-PLENARY-3_fr_52_2
28,20121106-0900-COMMITTEE-JURI_fr_102_1
29,20190319-1500-SPECIAL-SEMINAR1_fr_287_2
30,20181011-1400-SPECIAL-5E2_fr_101_1
31,20100223-1500-COMMITTEE-CONT_fr_52_0
32,20151007-0900-PLENARY-19_fr_68_1
33,20201026-1345-COMMITTEE-INTA_fr_156_0
34,20180515-1430-COMMITTEE-TAX3_fr_378_0
35,20120125-1500-COMMITTEE-EMPL_fr_110_1
36,20100602-0900-COMMITTEE-CULT_fr_134_0
37,20171214-0930-SPECIAL-UNKN_fr_28_0
38,20170228-1500-COMMITTEE-TRAN_fr_248_0
39,20200709-0900-PLENARY_fr_328_1
40,20181112-1930-COMMITTEE-ENVI_fr_58_1
41,20191205-0900-COMMITTEE-AGRI_fr_353_1
42,20121212-0900-PLENARY-13_fr_25_1
43,20170621-1530-SPECIAL-UNKN2_fr_77_0
44,20090930-0900-COMMITTEE-ENVI_fr_47_1
45,20150506-1500-COMMITTEE-BUDG_fr_229_2
46,20170323-0900-COMMITTEE-LIBE_fr_255_1
47,20160607-0900-PLENARY-16_fr_130_0
48,20110419-1500-COMMITTEE-AFET_fr_31_1
49,20170619-1500-COMMITTEE-BUDG_fr_211_1
50,20150109-1100-SPECIAL-UNKN_fr_59_1
51,20191217-0900-PLENARY_fr_340_1
52,20090210-1500-COMMITTEE-EMPL_fr_98_1
53,20100127-1500-COMMITTEE-IMCO_fr_210_1
54,20151013-0900-COMMITTEE-LIBE_fr_250_0
55,20121011-1500-COMMITTEE-AGRI_fr_64_0
56,20100713-0900-COMMITTEE-TRAN_fr_290_1
57,20171129-0900-PLENARY-12_fr_94_0
58,20170529-1500-COMMITTEE-ITRE_fr_264_1
59,20101019-0900-PLENARY-10_fr_12_1
60,20151005-0900-PLENARY-14_fr_60_1
61,20171121-0900-COMMITTEE-EMPL_fr_30_0
62,20130424-0900-COMMITTEE-INTA_fr_87_0
63,20180320-1430-COMMITTEE-AGRI_fr_194_1
64,20160530-1500-COMMITTEE-CULT_fr_67_1
65,20191001-1500-COMMITTEE-CULT_fr_10_0
66,20090330-1500-COMMITTEE-TRAN_fr_106_1
67,20101004-1500-COMMITTEE-LIBE_fr_122_0
68,20131202-1500-COMMITTEE-SEDE_fr_131_1
69,20141201-1500-COMMITTEE-FEMM_fr_226_0
70,20150622-1500-COMMITTEE-PETI_fr_158_0
71,20090430-1500-COMMITTEE-PETI_fr_203_0
72,20100304-1230-COMMITTEE-EMPL_fr_132_0
73,20101007-1500-COMMITTEE-BUDG_fr_47_0
74,20091110-1030-COMMITTEE-AGRI_fr_207_0
75,20141124-0900-PLENARY-5_fr_0_1
76,20110615-0900-COMMITTEE-FEMM_fr_76_0
77,20100111-1300-SPECIAL_fr_87_0
78,20140403-0900-PLENARY-3_fr_141_0
79,20150916-0900-PLENARY-9_fr_93_0
80,20160511-0900-PLENARY-3_fr_5_0
81,20150226-1500-COMMITTEE-FEMM_fr_106_0
82,20140121-0900-COMMITTEE-CULT_fr_58_0
83,20110523-1500-COMMITTEE-PETI_fr_4_0
84,20180829-0900-COMMITTEE-ECON_fr_178_0
85,20141002-1330-COMMITTEE-HEARING2014EB1_fr_5_0
86,20110307-0900-PLENARY-28_fr_9_1
87,20090305-0900-COMMITTEE-LIBE_fr_171_0
88,20181121-0900-COMMITTEE-AFET_fr_336_0
89,20100427-0900-COMMITTEE-CONT_fr_202_0
