,fileid
0,20151110-0900-COMMITTEE-ECON_de_189_0
1,20111020-1000-COMMITTEE-INTA_de_11_0
2,20190122-1500-COMMITTEE-DEVE_de_164_1
3,20130918-1500-COMMITTEE-PECH_de_108_0
4,20131011-0915-SPECIAL-UNKN_de_191_0
5,20181011-1115-SPECIAL-OTHER_de_70_1
6,20100118-0900-PLENARY-10_de_8_0
7,20110614-1500-COMMITTEE-PETI_de_216_1
8,20101025-1500-COMMITTEE-LIBE_de_98_0
9,20130116-0900-PLENARY-7_de_31_1
10,20180326-1500-COMMITTEE-ECON_de_97_1
11,20110315-0900-COMMITTEE-DROI_de_347_1
12,20110411-1500-COMMITTEE-ENVI_de_212_1
13,20130529-1500-COMMITTEE-ITRE_de_290_0
14,20140122-0900-SPECIAL-UNKN8_de_247_2
15,20120704-0900-PLENARY-10_de_113_1
16,20190904-1430-COMMITTEE-ECON_de_73_1
17,20150114-0900-PLENARY-13_de_24_0
18,20120703-0900-PLENARY-4_de_140_1
19,20180516-1430-COMMITTEE-INTA_de_189_0
20,20131217-0900-COMMITTEE-IMCO_de_7_1
21,20120425-0900-COMMITTEE-ENVI_de_334_0
22,20150519-1600-SPECIAL-UNKN333_de_29_0
23,20101215-0900-PLENARY-14_de_45_1
24,20130416-0900-PLENARY-6_de_174_0
25,20120118-0900-PLENARY-18_de_142_0
26,20120522-0900-PLENARY-12_de_71_0
27,20130306-1630-SPECIAL-UNKN_de_72_0
28,20130918-0900-COMMITTEE-ITRE_de_41_0
29,20120321-1500-COMMITTEE-AFET_de_291_1
30,20170711-1600-COMMITTEE-ECON_de_270_1
31,20151110-0900-COMMITTEE-TRAN_de_194_0
32,20170913-0900-PLENARY-3_de_260_0
33,20130530-0900-COMMITTEE-ITRE_de_103_0
34,20120918-0900-COMMITTEE-DEVE_de_120_0
35,20120321-1500-COMMITTEE-ENVI_de_34_2
36,20140319-1500-COMMITTEE-DROI_de_353_1
37,20140306-0900-COMMITTEE-ENVI_de_65_0
38,20190415-1945-COMMITTEE-CONT_de_88_0
39,20171212-0900-PLENARY-16_de_103_0
40,20120229-0900-COMMITTEE-AFET_de_183_0
41,20111017-1500-COMMITTEE-ECON_de_146_0
