,fileid
0,20110309-0900-PLENARY-8_en_126_0
1,20150421-0955-COMMITTEE-envi_en_221_0
2,20091006-0900-COMMITTEE-JURI_en_52_0
3,20191105-0900-COMMITTEE-CULT_en_215_0
4,20190613-1720-COMMITTEE-L_en_6_0
5,20110308-0900-PLENARY-11_en_27_0
6,20130326-0900-COMMITTEE-TRAN_en_76_0
7,20111129-1400-SPECIAL-UNKN_en_249_1
8,20141201-1500-SPECIAL-UNKN_en_373_1
9,20120619-1500-COMMITTEE-PETI_en_19_0
10,20171214-0930-SPECIAL-UNKN_en_89_1
11,20101130-1500-COMMITTEE-ECON_en_352_1
12,20180924-1430-COMMITTEE-CULT_en_202_1
13,20120516-0900-COMMITTEE-LIBE_en_195_1
14,20091201-1500-COMMITTEE-PETI_en_62_0
15,20141203-0900-COMMITTEE-DROI_en_81_0
16,20110712-0900-COMMITTEE-AFCO_en_41_1
17,20180307-1445-SPECIAL-UNKN_en_120_1
18,20180118-0930-COMMITTEE-CONT_en_123_1
19,20130121-1500-COMMITTEE-LIBE_en_73_1
20,20161013-1400-COMMITTEE-CONT_en_124_0
21,20120613-1400-SPECIAL_en_10_0
22,20141013-1500-COMMITTEE-CONT_en_400_0
23,20101209-0900-COMMITTEE-IMCO_en_85_0
24,20180514-1500-COMMITTEE-PECH_en_183_0
25,20091201-0900-COMMITTEE-SEDE_en_188_1
26,20120320-1500-COMMITTEE-LIBE_en_359_1
27,20200122-0900-COMMITTEE-EMPL_en_7_1
28,20140722-1500-COMMITTEE-LIBE_en_210_1
29,20190116-0900-SPECIAL-OTHER_en_289_0
30,20151222-0900-COMMITTEE-LIBE_en_181_1
31,20171207-1500-COMMITTEE-JURI_en_103_1
32,20100601-0900-COMMITTEE-TRAN_en_285_1
33,20110621-0900-COMMITTEE-ENVI_en_284_1
34,20090916-0900-PLENARY-3_en_84_1
35,20130205-0900-PLENARY-15_en_44_0
36,20131126-1500-COMMITTEE-AGRI_en_82_0
37,20130122-0900-COMMITTEE-PECH_en_146_1
38,20110322-0900-COMMITTEE-IMCO_en_132_0
39,20130221-0900-COMMITTEE-IMCO_en_152_0
40,20180424-1430-COMMITTEE-BUDG-ENVI_en_75_0
41,20140226-0900-PLENARY-16_en_214_1
42,20150708-0900-PLENARY-15_en_20_0
43,20100119-0900-SPECIAL_en_45_1
44,20110510-0900-PLENARY-5_en_34_0
45,20131008-0900-PLENARY-19_en_33_0
46,20190219-1000-COMMITTEE-JURI_en_55_0
47,20121002-1500-COMMITTEE-AFET_en_90_1
48,20130121-1500-COMMITTEE-LIBE_en_382_1
49,20121217-1530-COMMITTEE-REGI_en_90_1
50,20091215-0945-SPECIAL_en_16_0
51,20151109-1500-COMMITTEE-IMCO_en_147_1
52,20120522-0900-PLENARY-4_en_139_0
53,20110301-0900-COMMITTEE-LIBE_en_15_0
54,20150304-1430-SPECIAL-UNKN_en_152_0
55,20110119-0900-PLENARY-13_en_9_0
56,20201015-1130-COMMITTEE-ENVI_en_54_1
57,20120920-1500-COMMITTEE-LIBE_en_228_0
58,20160705-1630-SPECIAL-UNKN_en_10_0
59,20120424-0900-COMMITTEE-EMPL_en_148_1
60,20150121-0900-COMMITTEE-ENVI_en_89_0
61,20150709-0900-PLENARY-5_en_166_0
62,20100601-1500-COMMITTEE-BUDG_en_266_1
63,20170209-0900-COMMITTEE-EMIS_en_31_1
64,20100127-0900-COMMITTEE-LIBE_en_384_0
65,20191002-1500-COMMITTEE-REGI_en_30_0
66,20110203-0900-PLENARY-4_en_99_1
67,20090112-0900-PLENARY-12_en_33_0
68,20130703-0900-PLENARY-4_en_228_1
69,20180418-0900-PLENARY-7_en_231_0
70,20111107-1500-COMMITTEE-AGRI_en_15_0
71,20200928-1345-COMMITTEE-JURI_en_150_0
72,20150313-1600-SPECIAL-UNKN_en_73_0
73,20130529-1000-COMMITTEE-LIBE_en_162_0
74,20160217-1500-COMMITTEE-FEMM_en_212_1
75,20161011-1500-COMMITTEE-BUDG_en_151_0
76,20180515-0900-COMMITTEE-EMPL_en_33_1
77,20110714-0900-COMMITTEE-ENVI_en_324_0
78,20140511-1400-SPECIAL-EYE_en_80_1
79,20120426-1500-COMMITTEE-REGI_en_330_1
80,20101018-0900-PLENARY-9_en_241_1
81,20171123-0900-COMMITTEE-REGI_en_117_1
82,20121123-1600-SPECIAL-UNKN_en_196_1
83,20161025-1500-SPECIAL-UNKN_en_2_0
84,20100426-1500-COMMITTEE-PETI_en_106_1
85,20200708-0900-PLENARY_en_414_1
86,20180308-1000-SPECIAL-UNKN_en_107_1
87,20140723-1500-COMMITTEE-ENVI_en_231_0
88,20150224-0900-COMMITTEE-LIBE_en_368_2
89,20110928-1400-SPECIAL_en_24_1
90,20150326-0900-COMMITTEE-DROI_en_328_0
91,20200212-0900-PLENARY_en_719_1
92,20110523-1500-COMMITTEE-PETI_en_85_2
93,20110510-1100-SPECIAL-UNKN_en_16_0
94,20141106-0900-COMMITTEE-ENVI_en_141_0
95,20150506-1500-COMMITTEE-FEMM_en_152_1
96,20190917-0900-PLENARY_en_441_1
97,20171122-0900-COMMITTEE-DROI_en_47_0
98,20130520-0900-PLENARY-12_en_82_1
99,20181009-0900-COMMITTEE-EMPL_en_252_1
100,20161012-0900-COMMITTEE-JURI_en_153_1
101,20160705-0900-PLENARY-5_en_359_1
102,20140116-0830-COMMITTEE-ECON_en_59_0
103,20110113-0900-COMMITTEE-ITRE_en_155_0
104,20131119-0900-PLENARY-1_en_138_1
105,20120704-0900-PLENARY-8_en_183_1
106,20150420-1500-COMMITTEE-SEDE_en_148_1
107,20150915-0900-COMMITTEE-TRAN_en_29_1
108,20150325-0900-PLENARY-16_en_101_0
109,20090330-1500-COMMITTEE-IMCO_en_158_1
110,20130220-1500-COMMITTEE-INTA_en_202_1
111,20150119-1500-COMMITTEE-TRAN_en_109_1
112,20200903-1645-COMMITTEE-INTA_en_91_0
113,20170608-1000-SPECIAL-UNKN2_en_35_1
114,20151201-1500-COMMITTEE-ITRE-IMCO_en_4_1
115,20100519-0900-PLENARY-10_en_241_1
116,20181023-0900-PLENARY_en_1148_1
117,20121127-0945-COMMITTEE-JURI_en_53_2
118,20160511-1500-SPECIAL-UNKN_en_70_2
119,20170425-1500-COMMITTEE-DEVE_en_46_1
120,20180322-0900-SPECIAL-UNKN3_en_118_2
121,20171130-1600-SPECIAL-UNKN_en_177_0
122,20120514-1500-COMMITTEE-AFET_en_252_1
123,20150121-0900-COMMITTEE-ENVI_en_390_1
124,20150616-0900-COMMITTEE-AFET_en_64_1
125,20100127-0900-COMMITTEE-IMCO_en_90_0
126,20160711-1500-COMMITTEE-ECON-BUDG_en_134_0
127,20170322-0930-COMMITTEE-IMCO_en_5_0
128,20090929-1500-COMMITTEE-ITRE_en_186_1
129,20140213-1812-SPECIAL_en_5_1
130,20200203-1500-COMMITTEE-AFET_en_60_1
131,20101014-1430-SPECIAL_en_260_1
132,20131128-1400-COMMITTEE-LIBE_en_162_0
133,20120327-0900-COMMITTEE-CULT_en_193_1
134,20141104-0900-COMMITTEE-ECON_en_66_0
135,20151201-1500-COMMITTEE-ENVI_en_112_0
136,20160315-0900-COMMITTEE-FEMM_en_64_1
137,20191106-1500-COMMITTEE-LIBE_en_122_0
138,20180321-1430-COMMITTEE-PETI_en_215_0
139,20181121-1000-COMMITTEE-ITRE_en_59_1
140,20120228-1500-COMMITTEE-PECH_en_59_2
141,20171213-0900-PLENARY-4_en_60_0
142,20161024-1900-COMMITTEE-BUDG_en_203_1
143,20180912-0900-PLENARY_en_668_0
144,20170123-1500-COMMITTEE-ENVI_en_44_1
145,20180516-1430-COMMITTEE-AGRI_en_5_1
146,20170712-1500-COMMITTEE-AFCO_en_7_1
147,20190219-1615-COMMITTEE-LIBE_en_19_1
148,20180703-0950-SPECIAL-PRESSER_en_24_0
149,20190123-1430-COMMITTEE-DROI_en_65_0
150,20111006-0900-COMMITTEE-LIBE_en_249_0
151,20150617-0900-COMMITTEE-ECON_en_212_1
152,20130425-0900-COMMITTEE-JURI_en_40_0
153,20130123-1500-COMMITTEE-DROI_en_299_0
154,20170314-0900-PLENARY-10_en_130_0
155,20100504-1500-COMMITTEE-AFET_en_91_0
156,20180912-0900-PLENARY_en_250_1
157,20140123-1000-COMMITTEE-CONT_en_33_1
158,20171121-1500-COMMITTEE-AFET_en_281_1
159,20150121-1500-COMMITTEE-INTA_en_56_0
160,20160114-0900-COMMITTEE-AFCO_en_98_2
161,20190722-1500-COMMITTEE-CULT_en_9_0
162,20160427-1900-COMMITTEE-JURI-IMCO_en_35_1
163,20151019-1530-COMMITTEE-DEVE_en_61_0
164,20130708-1430-COMMITTEE-ECON_en_135_1
165,20110907-1439-SPECIAL-UNKN_en_271_1
166,20100504-1400-SPECIAL_en_119_1
167,20140311-1413-SPECIAL-UNKN_en_14_2
168,20160225-1000-SPECIAL-UNKN_en_249_0
169,20130611-1050-SPECIAL-UNKN_en_31_0
170,20131105-1600-COMMITTEE-SEDE_en_51_1
171,20190115-0900-PLENARY_en_789_1
172,20200122-0900-COMMITTEE-AGRI_en_259_1
173,20130123-1500-COMMITTEE-EMPL_en_53_1
174,20181115-0900-PLENARY_en_49_0
175,20181120-0900-COMMITTEE-SEDE_en_77_1
176,20110322-0900-COMMITTEE-REGI_en_167_0
177,20161108-0900-SPECIAL-UNKN_en_39_1
178,20171117-1600-SPECIAL-UNKN_en_58_0
179,20130708-1500-COMMITTEE-AFCO_en_29_1
180,20121211-0900-PLENARY-14_en_17_0
181,20130320-0900-COMMITTEE-BUDG_en_212_0
182,20170213-0900-PLENARY-10_en_79_0
183,20171128-1430-COMMITTEE-LIBE_en_44_1
184,20111115-0900-PLENARY-5_en_75_0
185,20111121-1500-COMMITTEE-PETI_en_80_0
186,20131126-1500-COMMITTEE-AFET_en_315_0
187,20160218-0900-COMMITTEE-SEDE_en_323_0
188,20181121-1030-COMMITTEE-BUDG_en_160_1
189,20171012-1430-SPECIAL-UNKN_en_270_1
190,20100317-0900-COMMITTEE-INTA_en_200_1
191,20120703-0900-PLENARY-8_en_70_0
192,20110216-0900-PLENARY-12_en_51_1
193,20190321-0900-COMMITTEE-ECON_en_110_0
194,20150223-1500-COMMITTEE-AFET_en_120_0
195,20091109-1500-COMMITTEE-ITRE_en_22_1
196,20200507-0900-COMMITTEE-AGRI_en_45_1
197,20110201-1500-COMMITTEE-PECH_en_3_0
198,20170425-0900-SPECIAL-UNKN_en_189_1
199,20151014-0900-PLENARY-9_en_160_1
200,20100601-0900-COMMITTEE-CONT-BUDG_en_185_0
201,20170126-1600-SPECIAL_en_37_1
202,20141117-1500-COMMITTEE-ECON_en_258_1
203,20180316-1000-SPECIAL-UNKN_en_203_0
204,20120621-1500-COMMITTEE-ENVI_en_81_0
205,20171113-1900-COMMITTEE-CONT_en_17_0
206,20120704-0900-PLENARY-14_en_53_1
207,20101202-0900-COMMITTEE-CULT_en_136_0
208,20120912-0900-PLENARY-3_en_67_0
209,20150209-1900-COMMITTEE-AFET_en_229_1
210,20161026-1600-SPECIAL-UNKN_en_66_1
211,20160223-1500-COMMITTEE-CONT_en_361_1
212,20170320-1500-COMMITTEE-IMCO-IMCO-ITRE_en_10_1
213,20111123-0930-SPECIAL-UNKN_en_33_0
214,20120529-1500-COMMITTEE-SEDE_en_96_1
215,20170126-0900-COMMITTEE-BUDG_en_106_1
216,20130530-1500-COMMITTEE-BUDG_en_247_0
217,20141007-0900-COMMITTEE-PETI_en_290_1
218,20181213-0900-PLENARY_en_500_1
219,20141203-1500-COMMITTEE-REGI_en_113_1
220,20160705-0900-PLENARY-14_en_26_1
221,20100113-1630-SPECIAL_en_91_0
222,20090204-0900-PLENARY-14_en_17_1
223,20101014-1430-SPECIAL_en_67_1
224,20160307-0900-PLENARY-10_en_58_0
225,20140318-1500-SPECIAL-UNKN_en_0_1
226,20100427-0900-COMMITTEE-REGI_en_180_0
227,20120710-0900-COMMITTEE-FEMM_en_232_0
228,20110316-0900-COMMITTEE-BUDG_en_52_1
229,20170530-1630-SPECIAL-UNKN_en_14_1
230,20120625-1500-COMMITTEE-ECON_en_276_1
231,20160404-1500-COMMITTEE-CONT_en_176_0
232,20091109-1500-COMMITTEE-DEVE_en_402_1
233,20150923-0900-COMMITTEE-ECON_en_117_2
234,20151030-1600-SPECIAL-UNKN_en_166_1
235,20191111-1500-COMMITTEE-LIBE_en_145_0
236,20120229-1500-COMMITTEE-AGRI_en_57_0
237,20100126-1500-COMMITTEE-TRAN_en_155_0
238,20111011-1500-COMMITTEE-PECH_en_219_0
239,20131105-0900-COMMITTEE-AGRI_en_69_1
240,20120918-1500-COMMITTEE-INTA_en_14_1
241,20170131-0930-COMMITTEE-EMPL_en_47_1
242,20110126-0900-COMMITTEE-AFCO_en_353_1
243,20161114-1600-COMMITTEE-IMCO_en_243_0
244,20160315-0900-COMMITTEE-AFET_en_224_0
245,20180315-0930-SPECIAL-UNKN_en_90_0
246,20160315-1500-COMMITTEE-AGRI_en_129_1
247,20150430-0900-PLENARY-5_en_95_0
248,20200217-1500-COMMITTEE-IMCO_en_112_1
249,20131023-0900-PLENARY-4_en_8_1
250,20121126-1500-COMMITTEE-CULT_en_86_0
