,fileid
0,20171206-1000-SPECIAL-UNKN_fr_166_0
1,20160315-0900-COMMITTEE-JURI_fr_245_1
2,20170711-1500-COMMITTEE-INTA_fr_353_1
3,20090203-0900-PLENARY-3_fr_96_0
4,20120911-0900-PLENARY-18_fr_138_0
5,20190319-1400-SPECIAL-CONFERENCE1_fr_157_0
6,20160714-0900-COMMITTEE-CULT_fr_175_1
7,20160614-0900-COMMITTEE-CONT_fr_87_1
8,20100223-1500-COMMITTEE-PETI_fr_251_0
9,20100915-1500-COMMITTEE-ECON_fr_34_1
10,20100929-1500-COMMITTEE-AFET_fr_91_0
11,20111123-0900-COMMITTEE-CONT_fr_211_0
12,20120424-1500-COMMITTEE-AFET_fr_12_1
13,20120425-1500-COMMITTEE-IMCO_fr_185_0
14,20101020-0900-PLENARY-5_fr_263_0
15,20130528-0900-COMMITTEE-PETI_fr_45_0
16,20131205-1500-COMMITTEE-LIBE_fr_164_1
17,20180515-1100-COMMITTEE-FEMM_fr_135_0
18,20160613-1500-COMMITTEE-ECON_fr_37_0
19,20150317-0900-COMMITTEE-IMCO_fr_143_0
20,20190130-0900-PLENARY_fr_713_0
21,20111215-0900-PLENARY-12_fr_38_0
22,20100317-1500-COMMITTEE-ECON_fr_203_1
23,20171106-1500-COMMITTEE-AGRI_fr_27_0
24,20100421-0900-PLENARY-8_fr_11_0
25,20160229-1500-COMMITTEE-CONT_fr_144_0
26,20190219-1430-COMMITTEE-ITRE_fr_185_0
27,20141106-0900-COMMITTEE-ENVI_fr_10_1
28,20130529-1500-COMMITTEE-PECH_fr_34_0
29,20110630-0900-COMMITTEE-ECON_fr_50_1
30,20110524-0900-COMMITTEE-JURI_fr_229_1
31,20130419-1000-SPECIAL-UNKN_fr_76_1
32,20161205-1500-COMMITTEE-CULT_fr_8_0
33,20110412-0900-COMMITTEE-JURI_fr_90_0
34,20140923-1500-COMMITTEE-AFET_fr_137_2
35,20150213-1000-SPECIAL-UNKN_fr_258_1
36,20110128-1130-SPECIAL-UNKN_fr_0_1
37,20110118-0900-PLENARY-18_fr_62_1
38,20151012-1500-COMMITTEE-AFET_fr_83_1
39,20130219-0900-COMMITTEE-REGI_fr_182_0
40,20130924-0900-COMMITTEE-REGI_fr_106_0
41,20170710-1500-COMMITTEE-ENVI_fr_128_1
42,20110614-1500-COMMITTEE-IMCO_fr_107_1
43,20100210-0900-PLENARY-9_fr_107_0
44,20101028-0900-SPECIAL_fr_80_0
