,fileid
0,20151112-0900-COMMITTEE-AGRI_fr_321_2
1,20160412-0900-PLENARY-19_fr_3_0
2,20131217-0900-COMMITTEE-AGRI_fr_9_1
3,20180912-1730-SPECIAL-DELEGATIONS_fr_77_1
4,20120912-0900-PLENARY-10_fr_84_0
5,20161011-1500-COMMITTEE-EMIS_fr_10_0
6,20120910-1900-COMMITTEE-ECON_fr_222_0
7,20110511-0900-PLENARY-11_fr_5_1
8,20131216-1500-COMMITTEE-CONT_fr_262_0
9,20191217-0900-PLENARY_fr_340_1
10,20120508-1000-COMMITTEE-INTA_fr_85_0
11,20100317-1500-COMMITTEE-ECON_fr_203_1
12,20200901-1345-COMMITTEE-BUDG_fr_136_1
13,20141204-1500-COMMITTEE-ITRE_fr_196_0
14,20180416-0900-PLENARY-18_fr_14_1
15,20131008-1050-SPECIAL-UNKN_fr_18_1
16,20100421-0900-PLENARY-8_fr_32_1
17,20160704-1930-COMMITTEE-BUDG_fr_98_0
18,20160223-1500-COMMITTEE-BUDG_fr_72_0
19,20170313-1900-COMMITTEE-AGRI_fr_9_0
20,20180712-0900-COMMITTEE-IMCO_fr_75_1
21,20110323-0900-PLENARY-12_fr_278_0
22,20180123-1430-COMMITTEE-IMCO_fr_23_1
23,20120529-0900-COMMITTEE-CULT_fr_0_1
24,20120919-0900-COMMITTEE-ECON_fr_191_1
25,20180610-1100-SPECIAL_fr_92_1
26,20201027-1345-COMMITTEE-PECH_fr_124_0
27,20120229-1500-COMMITTEE-EMPL_fr_346_0
28,20110524-1500-COMMITTEE-AFET_fr_51_0
29,20190724-0900-COMMITTEE-DEVE_fr_77_0
30,20160322-0900-COMMITTEE-ENVI_fr_69_1
31,20180313-0900-PLENARY-12_fr_174_1
32,20170404-1530-SPECIAL-UNKN_fr_26_0
33,20150413-1500-COMMITTEE-INTA_fr_209_0
34,20150113-0900-PLENARY-4_fr_42_0
35,20151013-1500-COMMITTEE-AGRI_fr_73_0
36,20100223-1500-COMMITTEE-CULT_fr_279_0
37,20120326-1500-COMMITTEE-ECON-ECON_fr_300_1
38,20191107-1600-SPECIAL-EUROSCOLA_fr_147_1
39,20150120-1500-COMMITTEE-FEMM_fr_20_0
40,20161108-1545-COMMITTEE-ECON_fr_45_0
41,20200421-1500-COMMITTEE-ENVI_fr_162_1
42,20180207-1600-SPECIAL-UNKN_fr_52_1
43,20100830-1500-COMMITTEE-AGRI_fr_206_1
44,20180219-1645-COMMITTEE-BUDG_fr_15_0
45,20131014-1500-COMMITTEE-INTA_fr_14_1
46,20130320-1500-COMMITTEE-INTA_fr_65_0
47,20181010-0900-COMMITTEE-INTA_fr_124_0
48,20180619-1430-COMMITTEE-PETI_fr_80_0
49,20170321-1500-COMMITTEE-AGRI_fr_293_0
50,20190917-0900-PLENARY_fr_1005_0
51,20141211-0900-COMMITTEE-LIBE_fr_179_0
52,20171211-0900-PLENARY-19_fr_4_0
53,20190917-0900-PLENARY_fr_45_0
54,20120228-0900-COMMITTEE-DROI_fr_185_1
55,20120703-0900-PLENARY-13_fr_66_0
56,20100616-0900-PLENARY-12_fr_47_1
