,fileid
0,20130220-0900-COMMITTEE-JURI_en_77_1
1,20091202-0900-COMMITTEE-LIBE_en_58_1
2,20180531-0900-PLENARY-16_en_20_1
3,20131126-1500-COMMITTEE-AGRI_en_40_1
4,20100601-1500-COMMITTEE-CULT_en_20_1
5,20170427-1400-COMMITTEE-LIBE_en_167_0
6,20150610-1400-SPECIAL_en_50_0
7,20200128-0900-COMMITTEE-LIBE_en_60_0
8,20201111-0900-PLENARY_en_671_1
9,20110201-1500-COMMITTEE-PECH_en_3_0
10,20140225-1030-SPECIAL-UNKN_en_26_1
11,20110830-1500-COMMITTEE-ITRE_en_259_1
12,20130521-0900-PLENARY-4_en_195_0
13,20100927-1500-COMMITTEE-TRAN_en_261_0
14,20191128-0900-COMMITTEE-CONT_en_159_1
15,20160412-0900-PLENARY-4_en_126_0
16,20100426-1500-COMMITTEE-DROI_en_273_0
17,20171121-1430-COMMITTEE-CONT_en_285_1
18,20180320-0900-COMMITTEE-ECON-AFCO_en_34_0
19,20130918-0900-COMMITTEE-LIBE_en_54_0
20,20120124-0900-COMMITTEE-ENVI_en_212_1
21,20201026-1645-COMMITTEE-AGRI_en_57_1
22,20190722-1500-COMMITTEE-CULT_en_9_0
23,20171121-0900-COMMITTEE-EMPL_en_272_1
24,20180515-0900-COMMITTEE-CONT_en_241_1
25,20131002-1434-SPECIAL-UNKN_en_45_2
26,20190121-1500-COMMITTEE-CONT_en_168_0
27,20160225-1000-SPECIAL-UNKN_en_249_0
28,20141105-1500-COMMITTEE-AGRI_en_241_0
29,20100315-1500-COMMITTEE-CONT_en_277_1
30,20101202-0900-COMMITTEE-TRAN_en_93_0
31,20131125-1500-COMMITTEE-CONT_en_200_0
32,20181115-0930-SPECIAL-CONFERENCE_en_134_1
33,20110308-0900-PLENARY-11_en_27_0
34,20120918-1330-COMMITTEE-ENVI_en_256_2
35,20160629-0930-COMMITTEE-BUDG_en_95_1
36,20150225-0900-PLENARY-11_en_44_0
37,20180906-1400-COMMITTEE-LIBE_en_68_0
38,20200923-1600-SPECIAL-OTHER_en_40_1
39,20100624-0900-COMMITTEE-CULT_en_254_1
40,20150121-0900-COMMITTEE-SEDE-AFET-BUDG_en_111_0
41,20090309-0900-PLENARY-13_en_63_1
42,20150120-0900-COMMITTEE-JURI_en_108_0
43,20120327-1500-COMMITTEE-AGRI_en_359_0
44,20181203-1500-COMMITTEE-TRAN_en_259_0
45,20170309-1000-SPECIAL-UNKN_en_57_0
46,20150226-1500-COMMITTEE-CULT-EMPL_en_35_1
47,20111004-1430-SPECIAL_en_213_1
48,20120201-0900-PLENARY-16_en_46_1
49,20130710-0930-COMMITTEE-JURI_en_74_0
50,20171122-1430-COMMITTEE-TRAN_en_87_0
51,20100908-0900-PLENARY-17_en_26_0
52,20160414-0900-PLENARY-15_en_17_1
53,20180307-1445-SPECIAL-UNKN_en_120_1
54,20150113-0900-PLENARY-16_en_18_1
55,20111024-0900-PLENARY-4_en_4_0
56,20110317-0900-COMMITTEE-CULT_en_262_0
57,20130307-1530-SPECIAL_en_42_1
58,20100531-1500-COMMITTEE-ITRE_en_272_0
59,20100111-1800-SPECIAL_en_181_1
60,20170511-1600-SPECIAL-UNKN_en_25_1
61,20170511-1600-SPECIAL-UNKN_en_190_0
62,20150223-1500-COMMITTEE-AFET_en_48_1
63,20190315-1600-SPECIAL-EUROSCOLA_en_2_0
64,20130220-1230-COMMITTEE-ENVI_en_22_0
65,20130219-1500-COMMITTEE-TRAN_en_168_0
66,20200608-0900-COMMITTEE-TRAN_en_51_2
67,20170704-0900-PLENARY-18_en_101_1
68,20170228-0900-COMMITTEE-INTA_en_24_1
69,20100713-1500-COMMITTEE-AFET_en_132_0
70,20161114-1600-COMMITTEE-IMCO_en_243_0
71,20160713-0900-COMMITTEE-AGRI_en_57_0
72,20140225-0900-PLENARY-13_en_46_0
73,20131217-0900-COMMITTEE-INTA_en_148_1
74,20170907-1000-COMMITTEE-INTA_en_196_1
75,20140509-1430-SPECIAL-EYE_en_76_1
76,20100126-1500-COMMITTEE-CULT_en_179_1
77,20140723-1500-COMMITTEE-ENVI_en_149_0
78,20111129-0900-COMMITTEE-CONT_en_259_1
79,20170213-0900-PLENARY-15_en_20_1
80,20130926-1500-COMMITTEE-IMCO_en_168_0
81,20120227-1500-COMMITTEE-REGI_en_319_0
82,20110315-1500-COMMITTEE-TRAN_en_219_0
83,20090330-1500-COMMITTEE-IMCO_en_42_0
84,20170504-0900-COMMITTEE-SEDE_en_11_1
85,20180117-0900-PLENARY-17_en_190_0
86,20190519-1100-SPECIAL-OTHER_en_4_1
87,20130116-0900-PLENARY-12_en_187_0
88,20100921-0900-PLENARY-12_en_139_0
89,20111025-0900-PLENARY-6_en_164_0
90,20160512-0830-COMMITTEE-AFET_en_124_0
91,20121128-0900-COMMITTEE-CRIM_en_289_1
92,20100621-1500-COMMITTEE-REGI_en_282_0
93,20150226-0900-COMMITTEE-ECON_en_32_1
94,20200217-1500-COMMITTEE-ITRE_en_107_1
95,20160511-1100-SPECIAL-UNKN_en_47_1
96,20160314-1500-COMMITTEE-AFCO_en_220_0
97,20170508-1500-COMMITTEE-LIBE_en_104_1
98,20120709-1500-COMMITTEE-DEVE_en_5_1
99,20101115-1500-COMMITTEE-CONT_en_64_1
100,20150331-1500-COMMITTEE-ECON_en_152_0
101,20171115-0900-PLENARY-4_en_70_1
102,20140414-1900-COMMITTEE-AFET_en_52_1
103,20181127-0900-COMMITTEE-PECH_en_179_0
104,20141104-0900-COMMITTEE-ECON_en_66_0
105,20100223-0900-COMMITTEE-ECON_en_275_1
106,20191106-1530-COMMITTEE-AFET_en_81_0
107,20130528-0900-COMMITTEE-CULT_en_129_1
108,20171009-1500-COMMITTEE-DEVE_en_4_0
109,20101122-0900-PLENARY-13_en_98_1
110,20120424-0900-COMMITTEE-FEMM_en_159_1
111,20091202-1500-COMMITTEE-IMCO_en_263_1
112,20180320-1045-COMMITTEE-DEVE_en_22_0
113,20200901-1645-COMMITTEE-AFET_en_22_1
114,20180417-0900-PLENARY-4_en_347_0
115,20150623-1500-COMMITTEE-PETI_en_12_2
116,20111123-0900-COMMITTEE-CULT_en_275_1
117,20171207-1500-COMMITTEE-JURI_en_103_1
118,20131127-0900-COMMITTEE-IMCO_en_63_0
119,20180221-0900-COMMITTEE-AFET_en_237_0
120,20100408-0900-COMMITTEE-IMCO_en_98_1
121,20140923-0900-COMMITTEE-AGRI_en_120_0
122,20121212-0900-PLENARY-14_en_105_1
123,20131007-1900-COMMITTEE-LIBE_en_145_0
124,20160913-0900-PLENARY-14_en_122_0
125,20140407-1500-COMMITTEE-DEVE_en_121_1
126,20101109-0900-COMMITTEE-INTA_en_89_1
127,20150909-1000-SPECIAL-UNKN_en_26_1
128,20181024-0900-PLENARY_en_33_0
129,20110622-0900-PLENARY-12_en_81_1
130,20161216-1000-SPECIAL-UNKN_en_8_0
131,20171128-0900-COMMITTEE-PECH_en_155_0
132,20160310-0900-PLENARY-4_en_31_1
133,20161108-1500-COMMITTEE-AFET_en_75_1
134,20190903-1000-COMMITTEE-TRAN_en_112_1
135,20130703-0900-PLENARY-4_en_228_1
136,20111017-1500-COMMITTEE-ENVI_en_69_0
137,20180117-0900-PLENARY-17_en_58_0
138,20200915-0900-PLENARY_en_470_0
139,20121127-0900-COMMITTEE-AFET_en_364_2
140,20130306-1300-SPECIAL-UNKN_en_7_1
141,20160926-1500-COMMITTEE-JURI_en_178_0
142,20100111-1300-SPECIAL_en_18_1
143,20121010-1500-COMMITTEE-INTA_en_18_0
144,20151203-1400-COMMITTEE-EMPL_en_167_0
145,20120912-0900-PLENARY-7_en_106_0
146,20130319-1530-COMMITTEE-CRIM-LIBE_en_331_1
147,20130424-0900-COMMITTEE-LIBE_en_217_0
148,20130530-1500-COMMITTEE-BUDG_en_247_0
149,20181015-1500-COMMITTEE-TAX3_en_189_1
150,20151214-1900-COMMITTEE-ITRE-IMCO_en_31_1
151,20160218-0900-COMMITTEE-SEDE_en_11_2
152,20190328-0900-PLENARY_en_145_0
153,20100426-1500-COMMITTEE-DEVE_en_270_1
154,20110419-1830-SPECIAL-UNKN_en_6_1
155,20171005-0900-PLENARY-3_en_105_0
156,20150313-1600-SPECIAL-UNKN_en_73_0
157,20170608-0930-SPECIAL-UNKN2_en_90_1
158,20160307-2100-COMMITTEE-AGRI_en_83_0
159,20161010-1500-COMMITTEE-TRAN_en_19_0
160,20110607-0945-SPECIAL-UNKN_en_31_0
161,20151201-0900-COMMITTEE-ENVI_en_47_0
162,20120914-1000-SPECIAL_en_88_1
163,20180625-1530-COMMITTEE-LIBE_en_326_0
164,20151014-0900-PLENARY-9_en_253_0
165,20130320-0900-COMMITTEE-AFET_en_427_1
166,20160308-0900-PLENARY-16_en_14_1
167,20120123-1500-COMMITTEE-AGRI_en_146_0
