,fileid
0,20141211-0900-COMMITTEE-CONT_fr_84_0
1,20090430-1500-COMMITTEE-PETI_fr_203_0
2,20171214-0930-SPECIAL-UNKN_fr_28_0
3,20091110-1030-COMMITTEE-AGRI_fr_207_0
4,20160225-1600-SPECIAL-UNKN_fr_130_1
5,20120903-1500-COMMITTEE-ITRE_fr_187_0
6,20130124-1500-SPECIAL-UNKN_fr_10_1
7,20200220-0900-COMMITTEE-LIBE_fr_142_0
8,20180425-1500-COMMITTEE-AFCO_fr_217_0
9,20180704-1500-COMMITTEE-DEVE_fr_113_0
10,20110615-0900-COMMITTEE-FEMM_fr_76_0
11,20130206-0900-PLENARY-12_fr_179_0
12,20110523-1500-COMMITTEE-PETI_fr_4_0
13,20091020-0900-PLENARY-16_fr_99_0
14,20190416-0900-PLENARY_fr_1367_1
15,20161108-0900-COMMITTEE-IMCO_fr_179_0
16,20091130-1500-COMMITTEE-SEDE_fr_155_1
17,20121105-1500-COMMITTEE-AGRI_fr_193_1
18,20160201-0900-PLENARY-11_fr_12_0
19,20170626-1500-COMMITTEE-CONT_fr_96_1
20,20181113-0900-PLENARY_fr_330_0
21,20160928-1730-COMMITTEE-ECON_fr_111_0
22,20100427-0900-COMMITTEE-CONT_fr_202_0
23,20140204-1500-SPECIAL_fr_37_1
24,20131114-0900-COMMITTEE-LIBE_fr_167_1
25,20180530-0900-PLENARY-23_fr_67_0
26,20130710-0900-COMMITTEE-LIBE_fr_109_1
27,20170109-1600-COMMITTEE-BUDG-ECON_fr_101_1
28,20120423-1500-COMMITTEE-ITRE_fr_260_2
29,20121217-1530-COMMITTEE-REGI_fr_200_1
30,20121011-1500-COMMITTEE-AGRI_fr_64_0
31,20090930-0900-COMMITTEE-ENVI_fr_47_1
32,20160520-1200-SPECIAL-UNKN2_fr_61_1
33,20100603-1500-COMMITTEE-CRIS_fr_97_1
34,20140715-0900-PLENARY-4_fr_172_0
35,20141111-1500-COMMITTEE-ECON_fr_270_1
36,20120709-1500-COMMITTEE-AGRI_fr_139_0
