,fileid
0,20110621-0900-COMMITTEE-REGI_en_1_1
1,20101027-1500-COMMITTEE-AFET_en_322_0
2,20120227-1500-COMMITTEE-TRAN_en_124_1
3,20170529-1100-SPECIAL-UNKN_en_16_0
4,20190724-1430-COMMITTEE-LIBE_en_63_0
5,20201119-1700-COMMITTEE-DEVE_en_95_0
6,20170411-1500-COMMITTEE-EMPL_en_196_0
7,20090402-1250-COMMITTEE-IMCO_en_267_1
8,20130221-0900-COMMITTEE-INTA_en_37_0
9,20140318-0900-COMMITTEE-AFET_en_28_0
10,20150304-1430-SPECIAL-UNKN_en_280_0
11,20170112-1500-COMMITTEE-JURI_en_74_1
12,20190212-0900-PLENARY_en_1049_1
13,20101011-1500-COMMITTEE-LIBE_en_206_1
14,20090421-0900-PLENARY-17_en_55_1
15,20160614-1500-COMMITTEE-CONT_en_152_0
16,20120124-0900-COMMITTEE-CONT_en_67_0
17,20160216-0900-COMMITTEE-CONT_en_297_0
18,20191002-1500-COMMITTEE-REGI_en_30_0
19,20181009-1430-COMMITTEE-PETI_en_135_0
20,20171012-0900-COMMITTEE-LIBE_en_130_0
21,20180524-1000-SPECIAL-UNKN_en_86_0
22,20100112-1031-SPECIAL_en_207_0
23,20190717-0900-PLENARY_en_319_1
24,20110113-0900-COMMITTEE-AFET_en_33_1
25,20110711-1500-COMMITTEE-ECON_en_85_1
26,20150414-0900-COMMITTEE-PECH_en_45_1
27,20191112-0900-COMMITTEE-CONT_en_184_1
28,20131128-0900-COMMITTEE-ENVI_en_32_0
29,20180705-0900-SPECIAL-DELEGATIONS_en_96_1
30,20101026-1500-COMMITTEE-ITRE_en_155_1
31,20100531-1500-COMMITTEE-PETI_en_261_1
32,20121128-0900-COMMITTEE-BUDG_en_26_0
33,20190311-1900-COMMITTEE-LIBE_en_111_1
34,20181121-0900-COMMITTEE-TRAN_en_162_0
35,20151019-1530-COMMITTEE-DEVE_en_12_0
36,20161107-1500-SPECIAL-UNKN_en_105_0
37,20180425-1430-SPECIAL_en_175_0
38,20140929-1430-COMMITTEE-HEARING2014GO_en_80_0
39,20180619-0900-SPECIAL-OTHER_en_6_0
40,20100929-0900-COMMITTEE-AFET_en_77_1
41,20100421-0900-PLENARY-5_en_140_0
42,20161108-0900-SPECIAL-UNKN_en_164_0
43,20190218-1500-COMMITTEE-LIBE_en_187_0
44,20121126-1500-COMMITTEE-REGI_en_4_1
45,20120912-0900-PLENARY-3_en_67_0
46,20191001-1430-SPECIAL-HEARING-2Q2_en_143_1
47,20150907-2100-COMMITTEE-ITRE_en_65_1
48,20170710-1500-COMMITTEE-LIBE_en_212_1
49,20101130-0900-COMMITTEE-ECON_en_368_0
50,20090930-0900-COMMITTEE-FEMM_en_160_0
51,20151026-0900-PLENARY-10_en_128_0
52,20181210-1900-COMMITTEE-ECON_en_170_2
53,20090901-0930-COMMITTEE-AFCO_en_113_0
54,20100125-1500-COMMITTEE-REGI_en_308_1
55,20131009-0900-PLENARY-14_en_54_0
56,20170317-1000-SPECIAL-UNKN_en_214_0
57,20130918-0930-COMMITTEE-SEDE_en_207_0
58,20180124-0900-COMMITTEE-ECON_en_299_1
59,20110228-1500-COMMITTEE-LIBE_en_226_1
60,20140924-1500-COMMITTEE-ITRE_en_208_0
61,20090331-1500-COMMITTEE-FEMM_en_47_0
62,20130923-1500-COMMITTEE-ECON_en_286_0
63,20130123-1500-COMMITTEE-INTA_en_199_2
64,20150716-1500-COMMITTEE-LIBE_en_27_1
65,20181022-0900-PLENARY_en_352_1
66,20150224-0900-COMMITTEE-ECON_en_296_0
67,20161014-0900-SPECIAL-UNKN2_en_265_1
68,20120712-0900-COMMITTEE-DROI_en_25_0
69,20190220-1000-COMMITTEE-ECON_en_100_0
70,20170426-1300-COMMITTEE-DEVE_en_177_1
71,20190924-1430-COMMITTEE-ECON_en_77_0
72,20130115-0900-PLENARY-14_en_133_1
73,20120327-1500-COMMITTEE-AGRI_en_111_0
74,20180620-0900-COMMITTEE-AGRI_en_39_0
75,20101108-1500-COMMITTEE-FEMM_en_275_1
76,20130205-0900-PLENARY-4_en_92_1
77,20140511-1400-SPECIAL-EYE_en_32_1
78,20120920-1500-COMMITTEE-ENVI_en_67_0
79,20120508-0900-COMMITTEE-LIBE_en_251_0
80,20170109-1500-COMMITTEE-CONT_en_112_1
81,20130710-0900-COMMITTEE-REGI_en_54_0
82,20100428-1500-COMMITTEE-AFET_en_44_1
83,20100121-0900-PLENARY-5_en_24_0
84,20141110-1500-COMMITTEE-LIBE_en_5_0
85,20130923-1500-COMMITTEE-ECON_en_193_1
86,20160628-0900-PLENARY-5_en_54_0
87,20160308-1630-SPECIAL-UNKN_en_7_2
88,20120322-1430-SPECIAL-UNKN_en_12_1
89,20170830-1430-COMMITTEE-PECH_en_10_1
90,20141202-1700-SPECIAL-UNKN_en_37_1
91,20141001-2015-COMMITTEE-HEARING2014MAC4_en_0_1
92,20171010-1730-COMMITTEE-CULT_en_8_0
93,20130709-1500-COMMITTEE-TRAN_en_312_2
94,20090325-0900-PLENARY-15_en_9_1
95,20150128-0900-PLENARY-7_en_11_0
96,20160915-0900-COMMITTEE-BUDG_en_41_1
97,20180906-0900-COMMITTEE-SEDE_en_322_1
98,20121008-1500-COMMITTEE-ITRE_en_3_1
99,20180607-0900-COMMITTEE-TRAN_en_17_0
100,20201022-0900-PLENARY_en_367_0
101,20180830-0900-COMMITTEE-LIBE_en_276_0
102,20100520-0900-PLENARY-11_en_27_1
103,20170712-1600-COMMITTEE-IMCO_en_112_0
104,20180710-1430-COMMITTEE-AFET_en_207_0
105,20110609-0900-PLENARY-11_en_39_1
