,fileid
0,20130123-1500-COMMITTEE-DROI_en_299_0
1,20120514-1500-COMMITTEE-AFET_en_252_1
2,20110523-1500-COMMITTEE-PETI_en_85_2
3,20171121-1500-COMMITTEE-AFET_en_281_1
4,20190123-1430-COMMITTEE-DROI_en_65_0
5,20160427-1900-COMMITTEE-JURI-IMCO_en_35_1
6,20130425-0900-COMMITTEE-JURI_en_40_0
7,20161025-1500-SPECIAL-UNKN_en_2_0
8,20170209-0900-COMMITTEE-EMIS_en_31_1
9,20170123-1500-COMMITTEE-ENVI_en_44_1
10,20100504-1500-COMMITTEE-AFET_en_91_0
11,20160404-1500-COMMITTEE-CONT_en_176_0
12,20150325-0900-PLENARY-16_en_101_0
13,20160218-0900-COMMITTEE-SEDE_en_323_0
14,20181023-0900-PLENARY_en_1148_1
15,20130529-1000-COMMITTEE-LIBE_en_162_0
16,20120621-1500-COMMITTEE-ENVI_en_81_0
17,20180316-1000-SPECIAL-UNKN_en_203_0
18,20171117-1600-SPECIAL-UNKN_en_58_0
19,20190917-0900-PLENARY_en_441_1
20,20140123-1000-COMMITTEE-CONT_en_33_1
21,20131008-0900-PLENARY-19_en_33_0
22,20111011-1500-COMMITTEE-PECH_en_219_0
23,20150119-1500-COMMITTEE-TRAN_en_109_1
24,20151014-0900-PLENARY-9_en_160_1
25,20150326-0900-COMMITTEE-DROI_en_328_0
26,20141201-1500-SPECIAL-UNKN_en_373_1
27,20110119-0900-PLENARY-13_en_9_0
28,20180315-0930-SPECIAL-UNKN_en_90_0
29,20130122-0900-COMMITTEE-PECH_en_146_1
30,20150223-1500-COMMITTEE-AFET_en_120_0
31,20180515-0900-COMMITTEE-EMPL_en_33_1
32,20130220-1500-COMMITTEE-INTA_en_202_1
33,20170530-1630-SPECIAL-UNKN_en_14_1
34,20101202-0900-COMMITTEE-CULT_en_136_0
35,20191106-1500-COMMITTEE-LIBE_en_122_0
36,20100504-1400-SPECIAL_en_119_1
37,20110308-0900-PLENARY-11_en_27_0
38,20141013-1500-COMMITTEE-CONT_en_400_0
39,20160711-1500-COMMITTEE-ECON-BUDG_en_134_0
