,fileid
0,20140407-1500-COMMITTEE-DEVE_de_206_0
1,20110126-0900-COMMITTEE-ENVI_de_134_0
2,20190131-0900-PLENARY_de_141_1
3,20091110-1500-COMMITTEE-AGRI_de_313_1
4,20110922-0900-COMMITTEE-BUDG_de_20_1
5,20190925-1430-COMMITTEE-CONT_de_241_0
6,20151203-0900-COMMITTEE-PETI_de_97_0
7,20131120-0900-PLENARY-3_de_165_0
8,20191219-0900-PLENARY_de_258_0
9,20101201-0900-COMMITTEE-ITRE_de_284_0
10,20181128-0900-PLENARY_de_388_0
11,20140903-0900-COMMITTEE-LIBE_de_106_0
12,20140317-1500-COMMITTEE-ITRE_de_111_0
13,20161108-1500-COMMITTEE-AFET_de_240_0
14,20130207-0900-PLENARY-4_de_87_0
15,20131014-1500-COMMITTEE-ECON_de_155_0
16,20091103-0900-SPECIAL_de_267_1
17,20180829-0900-COMMITTEE-INTA_de_198_0
18,20150708-1430-SPECIAL_de_6_0
19,20130221-0900-COMMITTEE-CONT_de_79_1
20,20120530-1500-COMMITTEE-LIBE_de_229_0
21,20180221-1430-COMMITTEE-IMCO_de_81_1
22,20180320-0945-COMMITTEE-ECON_de_119_1
23,20121127-1500-COMMITTEE-INTA_de_34_1
24,20130926-1500-COMMITTEE-ENVI-ITRE_de_94_0
25,20190715-1630-SPECIAL-PRESSER_de_14_0
26,20181004-0930-COMMITTEE-TERR_de_155_2
27,20151110-0900-COMMITTEE-CONT_de_192_0
28,20200910-1645-COMMITTEE-JURI_de_117_0
29,20160419-0900-COMMITTEE-EMPL_de_39_0
30,20160421-1600-SPECIAL-UNKN_de_47_0
31,20151012-1500-COMMITTEE-IMCO_de_209_0
32,20131105-0900-COMMITTEE-ENVI_de_144_2
33,20100125-1500-COMMITTEE-TRAN_de_294_1
34,20110125-1500-COMMITTEE-CULT_de_135_0
35,20181213-1015-COMMITTEE-EMPL_de_166_1
36,20160523-1500-COMMITTEE-BUDG_de_1_1
37,20130617-1100-SPECIAL-UNKN2_de_48_0
38,20160421-0900-COMMITTEE-SEDE_de_72_0
39,20091013-1400-SPECIAL_de_386_1
40,20130225-1000-SPECIAL-UNKN_de_42_0
41,20130319-0900-COMMITTEE-ITRE_de_80_1
42,20200515-1030-COMMITTEE-ITRE_de_156_0
43,20190121-1100-SPECIAL-PRESSER_de_7_1
44,20161128-1500-COMMITTEE-LIBE_de_57_0
45,20111208-0900-COMMITTEE-CONT_de_227_0
46,20161107-1500-COMMITTEE-LIBE_de_144_1
47,20140918-0900-PLENARY-4_de_163_0
48,20141013-1500-COMMITTEE-TRAN_de_7_1
49,20110712-1500-COMMITTEE-INTA_de_230_1
50,20170517-0900-PLENARY-4_de_158_1
51,20150518-0900-PLENARY-15_de_66_0
52,20120209-0900-COMMITTEE-DROI_de_252_1
53,20091130-1500-COMMITTEE-ENVI_de_39_1
54,20110314-1500-COMMITTEE-AFCO_de_90_1
55,20090209-1500-COMMITTEE-DROI_de_217_0
56,20091104-1500-COMMITTEE-PECH_de_162_1
57,20151209-0900-SPECIAL-UNKN_de_154_1
58,20150715-1500-COMMITTEE-ITRE_de_181_0
59,20140205-0900-PLENARY-17_de_18_1
60,20161109-0900-COMMITTEE-ECON_de_6_1
61,20160428-1600-SPECIAL-UNKN_de_171_1
62,20150713-1500-COMMITTEE-CULT_de_137_0
63,20150119-1500-COMMITTEE-CULT_de_229_0
64,20120614-0900-PLENARY-4_de_47_0
65,20100128-0900-COMMITTEE_de_63_1
66,20161129-0900-COMMITTEE-REGI_de_295_1
67,20091006-0900-COMMITTEE-JURI_de_155_0
68,20130319-1530-COMMITTEE-JURI_de_46_1
69,20100210-0900-PLENARY-3_de_195_0
70,20130527-1500-COMMITTEE-AFCO_de_35_0
71,20100610-1500-COMMITTEE-LIBE_de_191_1
72,20150326-0900-COMMITTEE-TRAN_de_65_0
73,20161109-0900-COMMITTEE-IMCO_de_120_0
74,20181015-1600-COMMITTEE-IMCO_de_119_1
75,20120507-1500-COMMITTEE-TRAN_de_74_1
76,20130530-1500-COMMITTEE-ITRE_de_95_0
77,20161013-1630-COMMITTEE-ITRE-ITRE-ENVI_de_94_0
78,20120327-0900-COMMITTEE-JURI_de_72_1
79,20151110-1500-COMMITTEE-EMPL_de_16_1
80,20100112-0900-SPECIAL_de_103_0
81,20121011-1000-SPECIAL-UNKN_de_255_0
82,20201119-0900-COMMITTEE-ECON_de_243_1
83,20150707-0900-PLENARY-18_de_96_1
84,20160111-1500-COMMITTEE-AGRI_de_300_1
85,20110908-0900-COMMITTEE-ITRE_de_9_0
86,20151207-1500-COMMITTEE-IMCO_de_13_1
87,20131009-0900-PLENARY-4_de_90_0
88,20190115-0900-PLENARY_de_838_0
89,20180515-1430-COMMITTEE-DROI_de_42_0
90,20200326-0900-PLENARY_de_250_1
91,20170830-1500-COMMITTEE-BUDG_de_16_1
92,20181113-0900-PLENARY_de_1002_1
93,20111214-0900-PLENARY-12_de_64_1
94,20181127-0900-COMMITTEE-CONT_de_292_0
95,20100907-0900-PLENARY-8_de_16_1
96,20180710-1430-COMMITTEE-INTA_de_31_1
97,20120530-1700-COMMITTEE-PECH_de_76_1
98,20141023-0900-PLENARY-3_de_47_1
99,20180424-0900-COMMITTEE-PETI_de_387_1
100,20110407-0900-PLENARY-4_de_75_0
101,20170925-1500-COMMITTEE-DROI_de_125_0
102,20181010-1430-COMMITTEE-JURI_de_143_2
103,20160315-1500-COMMITTEE-AFET_de_195_0
104,20091109-1500-COMMITTEE-ITRE_de_154_0
105,20110608-0900-PLENARY-7_de_106_1
106,20130918-0900-COMMITTEE-FEMM_de_204_0
107,20150707-0900-PLENARY-15_de_90_1
108,20100406-1500-COMMITTEE-ENVI_de_107_2
109,20150114-0900-PLENARY-13_de_54_1
110,20180911-0900-PLENARY_de_1484_0
111,20091008-1430-COMMITTEE-BUDG_de_5_0
112,20191002-0900-SPECIAL-HEARING-2Q2_de_74_0
113,20200619-0900-PLENARY_de_62_1
114,20140109-0900-COMMITTEE-EMPL_de_230_1
115,20180327-0900-COMMITTEE-REGI_de_79_0
116,20190207-1030-COMMITTEE-EMPL_de_51_0
117,20121203-1500-COMMITTEE-TRAN_de_5_1
118,20150505-0900-COMMITTEE-AGRI_de_96_2
119,20151015-0900-COMMITTEE-FEMM_de_90_0
120,20170502-1500-COMMITTEE-EMPL_de_40_0
121,20121010-1500-COMMITTEE-REGI_de_5_1
122,20170914-1000-COMMITTEE-BUDG_de_57_0
123,20161108-0900-COMMITTEE-IMCO_de_339_0
124,20091110-1500-COMMITTEE-ECON_de_162_0
125,20110831-0900-COMMITTEE-ECON_de_348_0
126,20180911-0900-PLENARY-witholdRO_de_113_0
127,20130220-0900-COMMITTEE-BUDG_de_11_0
128,20130708-1500-COMMITTEE-PETI_de_177_0
129,20190930-1700-COMMITTEE-AFET_de_108_1
130,20160620-1500-COMMITTEE-EMIS_de_182_0
131,20120425-0900-COMMITTEE-JURI_de_16_0
132,20141001-1930-COMMITTEE-HEARING2014TN3_de_92_0
133,20191127-0900-PLENARY_de_639_0
134,20130709-1130-COMMITTEE-AFET_de_26_1
135,20160509-0900-PLENARY-11_de_160_0
136,20120124-0900-COMMITTEE-AGRI_de_195_0
137,20170306-1600-SPECIAL-UNKN_de_100_1
138,20100616-0900-PLENARY-11_de_87_1
139,20141219-1000-SPECIAL-UNKN_de_221_2
140,20150715-1500-COMMITTEE-ITRE_de_116_1
141,20180607-1400-COMMITTEE-PEST_de_207_0
142,20100127-0900-COMMITTEE-ENVI_de_2_0
143,20130620-0900-COMMITTEE-ENVI_de_12_0
144,20180829-0900-COMMITTEE-TRAN_de_80_0
145,20120320-1500-COMMITTEE-ENVI_de_26_1
146,20110623-0900-PLENARY-5_de_79_0
147,20101026-1500-COMMITTEE-AFET_de_298_0
148,20110126-1500-COMMITTEE-BUDG_de_228_0
149,20160520-1300-SPECIAL-UNKN_de_46_0
150,20130528-0900-COMMITTEE-INTA_de_75_1
151,20141001-1330-COMMITTEE-HEARING2014JH_de_232_0
152,20110124-1500-COMMITTEE-TRAN_de_5_0
153,20170621-1500-COMMITTEE-ITRE_de_239_0
154,20180425-1430-COMMITTEE-SEDE_de_357_1
155,20090930-1400-COMMITTEE-CONT_de_180_0
156,20131105-0900-COMMITTEE-CONT_de_116_0
157,20181009-1430-COMMITTEE-ECON_de_154_1
158,20170112-1500-COMMITTEE-LIBE_de_11_1
159,20141204-0900-COMMITTEE-PECH_de_39_1
160,20100713-1500-COMMITTEE-TRAN_de_227_0
161,20201001-1200-COMMITTEE-JURI_de_26_1
162,20100504-1500-COMMITTEE-AFET_de_31_1
163,20180906-1400-COMMITTEE-PEST_de_10_1
164,20171128-0900-COMMITTEE-EMPL_de_24_1
165,20160711-1500-COMMITTEE-JURI_de_103_1
166,20171012-1600-SPECIAL-UNKN_de_4_0
167,20100128-0900-COMMITTEE_de_285_0
168,20141104-0900-COMMITTEE-EMPL_de_108_0
169,20190903-1000-COMMITTEE-REGI_de_47_0
170,20140327-1600-SPECIAL-UNKN_de_5_1
171,20170405-0900-PLENARY-23_de_13_0
172,20170503-1500-COMMITTEE-AFET-SEDE_de_121_0
173,20120625-1500-COMMITTEE-ECON_de_49_1
174,20090423-0900-PLENARY-26_de_57_0
175,20090311-0900-PLENARY-23_de_1_1
176,20120924-1500-COMMITTEE-IMCO_de_151_1
