,fileid
0,20110110-1500-COMMITTEE-LIBE_de_3_1
1,20090929-0900-COMMITTEE-IMCO_de_157_1
2,20170503-1500-COMMITTEE-SEDE_de_8_1
3,20100126-0900-COMMITTEE-REGI_de_63_0
4,20150623-0900-COMMITTEE-DEVE_de_186_1
5,20180705-0900-PLENARY_de_367_0
6,20131023-0900-PLENARY-11_de_56_1
7,20170323-0900-COMMITTEE-JURI_de_217_1
8,20120312-0900-PLENARY-11_de_187_0
9,20161107-1500-COMMITTEE-LIBE_de_144_1
10,20141104-0900-COMMITTEE-EMPL_de_108_0
11,20180314-0900-PLENARY-21_de_51_0
12,20201006-0900-PLENARY_de_20_0
13,20161107-1500-COMMITTEE-LIBE_de_67_0
14,20180911-0900-PLENARY_de_1484_0
15,20170504-1430-SPECIAL-UNKN_de_104_0
16,20090401-0900-PLENARY-7_de_0_0
17,20151015-1000-SPECIAL-UNKN_de_164_0
18,20181119-1500-COMMITTEE-JURI_de_65_0
19,20110324-0900-PLENARY-3_de_79_1
20,20151110-0900-COMMITTEE-TRAN_de_194_0
21,20111129-1500-COMMITTEE-ITRE_de_72_1
22,20100127-0900-COMMITTEE-ENVI_de_2_0
23,20150715-1500-COMMITTEE-ITRE_de_116_1
24,20101124-0900-PLENARY-93_de_121_1
25,20200902-1345-COMMITTEE-ECON_de_56_1
26,20160314-1500-COMMITTEE-DEVE_de_166_0
27,20170425-1500-COMMITTEE-CULT-CONT_de_15_1
28,20160705-0900-PLENARY-18_de_61_0
29,20110314-1500-COMMITTEE-TRAN_de_31_0
30,20141007-1000-COMMITTEE-HEARING2014JK_de_203_0
31,20181008-1500-COMMITTEE-AFET_de_37_0
32,20180829-0900-COMMITTEE-INTA_de_164_0
33,20101004-1500-COMMITTEE-LIBE_de_117_1
34,20091214-1630-SPECIAL_de_5_0
35,20120320-1500-COMMITTEE-LIBE_de_47_1
36,20170622-1000-SPECIAL-UNKN_de_153_1
37,20130702-0900-PLENARY-16_de_16_1
38,20111220-1500-COMMITTEE-IMCO_de_236_0
39,20190123-1000-COMMITTEE-PECH_de_68_1
40,20160913-1110-SPECIAL-UNKN_de_40_1
41,20121203-1500-COMMITTEE-TRAN_de_5_1
42,20160420-0900-COMMITTEE-IMCO-INTA_de_212_1
43,20140327-1600-SPECIAL-UNKN_de_1_1
44,20150716-0900-COMMITTEE-BUDG_de_43_0
45,20140722-0900-COMMITTEE-ECON_de_173_1
46,20180516-1430-COMMITTEE-TERR_de_23_1
47,20190226-1530-COMMITTEE-LIBE_de_67_0
48,20120710-1500-COMMITTEE-AFET_de_231_0
49,20160415-1600-SPECIAL-UNKN_de_98_1
50,20170531-0900-PLENARY-14_de_47_0
51,20130131-1600-SPECIAL-EUROSCOLA_de_148_1
52,20100421-0900-PLENARY-9_de_41_1
53,20091006-0900-COMMITTEE-JURI_de_155_0
54,20110414-0900-COMMITTEE-SURE_de_44_0
55,20180222-1600-SPECIAL-UNKN_de_117_0
56,20090917-0900-PLENARY-2_de_142_1
57,20130207-0900-PLENARY-4_de_87_0
58,20180619-1500-SPECIAL-OTHER_de_182_0
59,20110830-0930-COMMITTEE-ITRE_de_194_0
60,20151012-1500-COMMITTEE-DEVE_de_34_0
61,20120531-1500-COMMITTEE-EMPL_de_1_0
62,20110614-1500-COMMITTEE-IMCO_de_158_1
63,20191008-1430-COMMITTEE-AFCO_de_134_1
64,20171121-1430-COMMITTEE-ECON_de_413_0
65,20151211-1100-SPECIAL-UNKN_de_73_1
66,20111123-0900-COMMITTEE-REGI_de_60_0
67,20110201-1500-COMMITTEE-EMPL_de_72_1
68,20120125-1500-COMMITTEE-REGI_de_146_0
69,20170925-1500-COMMITTEE-DROI_de_125_0
70,20130225-1000-SPECIAL-UNKN_de_42_0
71,20200622-1200-COMMITTEE-ENVI_de_14_1
72,20120229-1500-COMMITTEE-PECH_de_111_1
73,20150923-1400-COMMITTEE-EMPL_de_76_1
74,20111109-0900-SPECIAL_de_227_1
75,20170608-0900-COMMITTEE-ENVI_de_162_1
